nama_sekolah,npsn,bp,status,guru,pd,kecamatan,wilayah
SMAN 26 JAKARTA,20102218,SMA,Negeri,36,633,Tebet,Jakarta Selatan
SMAN 37 JAKARTA,20102213,SMA,Negeri,46,750,Tebet,Jakarta Selatan
SMAN 8 JAKARTA,20102568,SMA,Negeri,58,1040,Tebet,Jakarta Selatan
SMAS 17 AGUSTUS 45 JAKARTA,20107274,SMA,Swasta,5,333,Tebet,Jakarta Selatan
SMAS ASISI JAKARTA,20107278,SMA,Swasta,18,159,Tebet,Jakarta Selatan
SMAS DEWI SARTIKA,20107294,SMA,Swasta,14,140,Tebet,Jakarta Selatan
SMAS ISLAM AS SYAFIIYAH 01 JAKARTA,20107279,SMA,Swasta,11,314,Tebet,Jakarta Selatan
SMAS MUHAMMADIYAH 5 JAKARTA,20107317,SMA,Swasta,21,436,Tebet,Jakarta Selatan
SMAS MUTTAQIEN JAKARTA,20107318,SMA,Swasta,11,87,Tebet,Jakarta Selatan
SMAS YASPORBI 1 JAKARTA,20107340,SMA,Swasta,21,191,Tebet,Jakarta Selatan
SMAS YMIK 2 JAKARTA,20107342,SMA,Swasta,22,294,Tebet,Jakarta Selatan
SMAN 15 JAKARTA,20100807,SMA,Negeri,36,642,Tanjung Priok,Jakarta Utara
SMAN 18 JAKARTA,20100809,SMA,Negeri,42,742,Tanjung Priok,Jakarta Utara
SMAN 41 JAKARTA,20100811,SMA,Negeri,37,678,Tanjung Priok,Jakarta Utara
SMAN 80 JAKARTA,20100780,SMA,Negeri,42,783,Tanjung Priok,Jakarta Utara
SMA BINA MAJU BANGSA,69965395,SMA,Swasta,0,11,Tanjung Priok,Jakarta Utara
SMA LENTERA KASIH,69948873,SMA,Swasta,2,23,Tanjung Priok,Jakarta Utara
SMAS AL JIHAD JAKARTA,20107367,SMA,Swasta,11,181,Tanjung Priok,Jakarta Utara
SMAS DHARMA BUDHI BHAKTI JAKARTA,20100630,SMA,Swasta,13,93,Tanjung Priok,Jakarta Utara
SMAS DHARMA PUTRA JAKARTA,20107373,SMA,Swasta,13,156,Tanjung Priok,Jakarta Utara
SMAS GIDEON JAKARTA,20107376,SMA,Swasta,3,105,Tanjung Priok,Jakarta Utara
SMAS GITA KIRTI 2,20107377,SMA,Swasta,12,135,Tanjung Priok,Jakarta Utara
SMAS KRISTEN IPEKA SUNTER,20107383,SMA,Swasta,31,440,Tanjung Priok,Jakarta Utara
SMAS KRISTEN TUNAS BANGSA,20107384,SMA,Swasta,17,183,Tanjung Priok,Jakarta Utara
SMAS MUTIARA 1 JAKARTA,20100606,SMA,Swasta,9,83,Tanjung Priok,Jakarta Utara
SMAS SANTO LUKAS 1 JAKARTA,20107391,SMA,Swasta,12,120,Tanjung Priok,Jakarta Utara
SMAS WIJAYA JAKARTA,20107397,SMA,Swasta,8,107,Tanjung Priok,Jakarta Utara
SMAS YAPPENDA,20107400,SMA,Swasta,27,523,Tanjung Priok,Jakarta Utara
SMAN 24 JAKARTA,20100219,SMA,Negeri,35,487,Tanah Abang,Jakarta Pusat
SMAN 35 JAKARTA,20100212,SMA,Negeri,41,653,Tanah Abang,Jakarta Pusat
SMAN 7 JAKARTA,20100200,SMA,Negeri,37,651,Tanah Abang,Jakarta Pusat
SMAS HATI SUCI,20108501,SMA,Swasta,4,49,Tanah Abang,Jakarta Pusat
SMAS ISLAM SAID NA UM JAKARTA,20108502,SMA,Swasta,23,216,Tanah Abang,Jakarta Pusat
SMAS KRISTEN BETHEL JAKARTA,20100188,SMA,Swasta,7,63,Tanah Abang,Jakarta Pusat
SMAS MUHAMMADIYAH 14 JAKARTA,20100184,SMA,Swasta,10,88,Tanah Abang,Jakarta Pusat
SMTK BETHEL JAKARTA,69889008,SMA,Swasta,0,0,Tanah Abang,Jakarta Pusat
SMAN 19 JAKARTA,20101623,SMA,Negeri,36,593,Tambora,Jakarta Barat
SMAS BHINEKA TUNGGAL IKA,20101337,SMA,Swasta,14,137,Tambora,Jakarta Barat
SMAS CANDRA NAYA,20101330,SMA,Swasta,14,173,Tambora,Jakarta Barat
